,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
10395,Robert Kelly,New York Smells,1yZBuLfj9mWs18d1FhTmV9,21,2012,comedy,0.599,0.738,10,-8.013,0,0.943,0.586,0.0,0.941,0.657,80.187,91253,4
10396,Bret Ernst,Intro,3O2HOGn7nYKPuOjTM7vIuW,21,2012,comedy,0.593,0.552,7,-9.324,0,0.902,0.837,0.0,0.568,0.402,90.17,83107,4
10397,Amy Schumer,French Guy,6PTJk3H8zBgJOahyvh9yDe,21,2012,comedy,0.51,0.857,8,-7.641,0,0.946,0.764,0.0,0.922,0.45,85.966,279358,4
10398,George Lopez,Baby Proofing,2bgbcKd7jeMasPF9ricmS1,20,2012,comedy,0.439,0.994,2,-6.661,1,0.904,0.888,0.000229,0.872,0.0303,89.145,181400,3
10399,Ryan Singer,Bounty On My Head,2bMVYnKiKVrqNbtHUlvVys,21,2012,comedy,0.681,0.797,3,-7.112,0,0.886,0.832,0.0,0.665,0.766,66.667,70750,3
10400,Ryan Singer,Sexually Harassed,00UEDdBw0w1W0MZxXmB5lL,21,2012,comedy,0.717,0.741,1,-6.547,1,0.942,0.814,0.0,0.629,0.811,67.053,81849,3
10401,Stephen Lynch,Tennessee,5j5pCikiSYe36LRGDcPMgk,23,2012,comedy,0.625,0.272,4,-12.295,1,0.0399,0.731,0.00246,0.152,0.218,141.119,309120,4
10402,Todd Barry,Fraternity Sales Pitch,2WU2iErXxx4wKDsVS0wbvk,20,2012,comedy,0.448,0.957,1,-11.295,1,0.922,0.898,2.85e-06,0.57,0.22,128.05,102692,4
10403,Andy Hendrickson,Running Late & Starbucks,3iOHxcPOZMPQWfhIbXBNt5,21,2012,comedy,0.57,0.394,2,-16.131,1,0.948,0.912,0.0,0.825,0.682,58.582,140773,4
10404,Darryl Lenox,Politics Don't Affect Me,6ME9lVyEthFJ0QaTgKr1R0,20,2012,comedy,0.546,0.703,9,-10.143,1,0.948,0.789,0.0,0.891,0.199,87.692,103281,4
10405,Robert Kelly,Massachusetts,4XbmFtjdDwLFbGdn7XeHA9,20,2012,comedy,0.53,0.522,5,-13.766,1,0.931,0.584,0.0,0.967,0.53,101.803,58745,5
10406,George Lopez,Trick or Treating,1djl3PSBIt7BMb0HyhlHW2,19,2012,comedy,0.449,0.982,0,-7.155,1,0.903,0.855,5.33e-06,0.781,0.0355,133.888,222493,3
10407,Bret Ernst,Brothers Are Phenomenal!,0zIsrG13dzZ6CRfW31yiic,20,2012,comedy,0.64,0.45,11,-12.166,1,0.924,0.888,0.0,0.838,0.614,80.785,97027,4
